name,cat,tgt,desc,img,dose,half,purity,badges,wa,size,price,orig_price
CJC-1295,Hormones,Growth Hormone,GHRH analogue for sustained GH pulse amplification. Ideal for body recomposition and anti-aging protocols.,https://www.corepeptides.in/cdn/shop/files/CJC-1295_without_DAC_5mg_a7955602-8c6f-43c3-9b5c-bf893b6e7c00_1.webp?v=1776242002&width=533,1–2 mg/wk,~8d,99.9%,sale,,5mg,5499,8799
CJC-1295,Hormones,Growth Hormone,GHRH analogue for sustained GH pulse amplification. Ideal for body recomposition and anti-aging protocols.,https://www.corepeptides.in/cdn/shop/files/CJC-1295_without_DAC_5mg_a7955602-8c6f-43c3-9b5c-bf893b6e7c00_1.webp?v=1776242002&width=533,1–2 mg/wk,~8d,99.9%,sale,,10mg,9999,15999
Ipamorelin,Hormones,GH Secretagogue,Cleanest ghrelin mimetic — selectively triggers GH pulses without raising cortisol or prolactin.,https://www.corepeptides.in/cdn/shop/files/Ipamorelin_10mg_9680ec8d-a861-480b-9617-0dce361f54fb.webp?v=1776241766&width=533,200–300 mcg 2–3×/d,~2h,99.9%,,,5mg,5499,8799
Ipamorelin,Hormones,GH Secretagogue,Cleanest ghrelin mimetic — selectively triggers GH pulses without raising cortisol or prolactin.,https://www.corepeptides.in/cdn/shop/files/Ipamorelin_10mg_9680ec8d-a861-480b-9617-0dce361f54fb.webp?v=1776241766&width=533,200–300 mcg 2–3×/d,~2h,99.9%,,,10mg,9999,15999
Hexarelin,Hormones,GH & Cardioprotection,Most potent GHRP available. Strong GH stimulation + cardioprotective effects via GHS-R1a binding.,https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,100–200 mcg 2–3×/d,~70m,99%,new,,2mg,5499,8799
Hexarelin,Hormones,GH & Cardioprotection,Most potent GHRP available. Strong GH stimulation + cardioprotective effects via GHS-R1a binding.,https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,100–200 mcg 2–3×/d,~70m,99%,new,,5mg,9999,15999
Sermorelin,Hormones,Anti-Aging GH,"First 29 amino acids of GHRH. Gentle, natural GH stimulation widely used for anti-aging & sleep quality.",https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,200–500 mcg/night,~11m,99%,,,2mg,4999,7999
Sermorelin,Hormones,Anti-Aging GH,"First 29 amino acids of GHRH. Gentle, natural GH stimulation widely used for anti-aging & sleep quality.",https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,200–500 mcg/night,~11m,99%,,,5mg,8999,14399
Kisspeptin,Hormones,LH & Testosterone,"Neuroendocrine master regulator — triggers LH/FSH surge, supports testosterone & fertility research.",https://www.corepeptides.in/cdn/shop/files/ChatGPTImageMay16_2026_05_49_55PM.png?v=1778934007&width=533,1–10 mcg/kg,~28m,99%,new,,5mg,5499,8799
Kisspeptin,Hormones,LH & Testosterone,"Neuroendocrine master regulator — triggers LH/FSH surge, supports testosterone & fertility research.",https://www.corepeptides.in/cdn/shop/files/ChatGPTImageMay16_2026_05_49_55PM.png?v=1778934007&width=533,1–10 mcg/kg,~28m,99%,new,,10mg,9999,15999
Tesamorelin,Fat Loss,Visceral Fat,FDA-studied GHRH analogue specifically targeting visceral abdominal adipose tissue with proven clinical results.,https://www.corepeptides.in/cdn/shop/files/WhatsAppImage2026-04-14at11.41.16PM.jpg?v=1776194678&width=533,1–2 mg/day,~36m,99.9%,top,,2mg,6999,11199
Tesamorelin,Fat Loss,Visceral Fat,FDA-studied GHRH analogue specifically targeting visceral abdominal adipose tissue with proven clinical results.,https://www.corepeptides.in/cdn/shop/files/WhatsAppImage2026-04-14at11.41.16PM.jpg?v=1776194678&width=533,1–2 mg/day,~36m,99.9%,top,,5mg,13999,22399
AOD-9604,Fat Loss,Fat Burning,C-terminus fragment of HGH (177-191). Activates fat-burning pathways without growth-promoting side effects.,https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,300 mcg/day,~30m,99%,sale,,5mg,4999,7999
AOD-9604,Fat Loss,Fat Burning,C-terminus fragment of HGH (177-191). Activates fat-burning pathways without growth-promoting side effects.,https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,300 mcg/day,~30m,99%,sale,,10mg,8999,14399
Retatrutide,Fat Loss,Weight Management,Triple agonist (GIP/GLP-1/glucagon). Clinical trials show 17–24% body weight reduction.,https://www.corepeptides.in/cdn/shop/files/WhatsAppImage2026-04-14at11.41.10PM.jpg?v=1776194268&width=533,2–12 mg/wk,~6d,98%,"new,top",,5mg,6999,11199
Retatrutide,Fat Loss,Weight Management,Triple agonist (GIP/GLP-1/glucagon). Clinical trials show 17–24% body weight reduction.,https://www.corepeptides.in/cdn/shop/files/WhatsAppImage2026-04-14at11.41.10PM.jpg?v=1776194268&width=533,2–12 mg/wk,~6d,98%,"new,top",,10mg,12999,20799
MOTS-C,Fat Loss,Mitochondria & Metabolism,"Mitochondrial-derived peptide activating AMPK, enhancing insulin sensitivity & metabolic flexibility.",https://www.corepeptides.in/cdn/shop/files/WhatsAppImage2026-04-14at11.41.54PM.jpg?v=1776241496&width=533,5–10 mg 3×/wk,~24h,99%,new,,5mg,5999,9599
MOTS-C,Fat Loss,Mitochondria & Metabolism,"Mitochondrial-derived peptide activating AMPK, enhancing insulin sensitivity & metabolic flexibility.",https://www.corepeptides.in/cdn/shop/files/WhatsAppImage2026-04-14at11.41.54PM.jpg?v=1776241496&width=533,5–10 mg 3×/wk,~24h,99%,new,,10mg,10999,17599
Epithalon,Longevity,Anti-Aging & Telomeres,"Tetrapeptide activating telomerase, extending telomere length, and restoring melatonin production.",https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,5–10 mg/day,~30m,99%,"new,top",,10mg,6999,11199
Epithalon,Longevity,Anti-Aging & Telomeres,"Tetrapeptide activating telomerase, extending telomere length, and restoring melatonin production.",https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,5–10 mg/day,~30m,99%,"new,top",,20mg,12999,20799
Thymosin Alpha-1,Immunity,Immune Modulation,"Thymic peptide modulating T-cell activity, enhancing innate immunity, with antiviral properties.",https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,1.6 mg 2×/wk,~2h,99%,new,,5mg,6499,10399
Thymosin Alpha-1,Immunity,Immune Modulation,"Thymic peptide modulating T-cell activity, enhancing innate immunity, with antiviral properties.",https://cdn.shopify.com/s/files/1/0727/0377/0775/files/WhatsApp_Image_2026-04-15_at_19.45.10.jpg?v=1776262553,1.6 mg 2×/wk,~2h,99%,new,,10mg,11999,19199

