Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Gift Card,SEO Title,SEO Description,Status
mots-c,,,,,,,,40mg,mots-c-40mg,shopify,100,deny,manual,5999,10999,TRUE,FALSE,,,https://peptidecentral.in/images/vials/mots-c_40mg.webp,,,,
tesamorelin,Tesamorelin,<p>FDA-studied GHRH analogue specifically targeting visceral abdominal adipose tissue with proven clinical results.</p><p><strong>Purity:</strong> 99.90% (HPLC-verified) · <strong>Half-life:</strong> ~36m</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>,Peptide Central,Hormones,"Hormones, research peptides, india, GHRH / Visceral Fat",TRUE,Size,10mg,tesamorelin-10mg,shopify,100,deny,manual,4499,6999,TRUE,FALSE,https://peptidecentral.in/images/vials/tesamorelin_10mg.webp,Tesamorelin 10mg research peptide India,https://peptidecentral.in/images/vials/tesamorelin_10mg.webp,FALSE,Buy Tesamorelin in India | 99.90% Pure | Peptide Central,"Buy Tesamorelin online in India. FDA-studied GHRH analogue specifically targeting visceral abdominal adipose tissue with proven clini COA included, COD available.",active
cjc-1295-no-dac,CJC-1295 (no-DAC),<p>GHRH analogue for sustained GH pulse amplification. Ideal for body recomposition and anti-aging protocols.</p><p><strong>Purity:</strong> 99.90% (HPLC-verified) · <strong>Half-life:</strong> ~30m</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>,Peptide Central,Hormones,"Hormones, research peptides, india, GHRH Analog",TRUE,Size,10mg,cjc-1295-no-dac-10mg,shopify,100,deny,manual,4499,7999,TRUE,FALSE,https://peptidecentral.in/images/vials/cjc-1295_10mg.webp,CJC-1295 (no-DAC) 10mg research peptide India,https://peptidecentral.in/images/vials/cjc-1295_10mg.webp,FALSE,Buy CJC-1295 (no-DAC) in India | 99.90% Pure | Peptide Central,"Buy CJC-1295 (no-DAC) online in India. GHRH analogue for sustained GH pulse amplification. Ideal for body recomposition and anti-aging prot COA included, COD available.",active
ipamorelin,Ipamorelin,<p>Cleanest ghrelin mimetic – selectively triggers GH pulses without raising cortisol or prolactin.</p><p><strong>Purity:</strong> 99.90% (HPLC-verified) · <strong>Half-life:</strong> ~2h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>,Peptide Central,Hormones,"Hormones, research peptides, india, Ghrelin Receptor Agonist",TRUE,Size,10mg,ipamorelin-10mg,shopify,100,deny,manual,3499,4999,TRUE,FALSE,https://peptidecentral.in/images/vials/ipamorelin_10mg.webp,Ipamorelin 10mg research peptide India,https://peptidecentral.in/images/vials/ipamorelin_10mg.webp,FALSE,Buy Ipamorelin in India | 99.90% Pure | Peptide Central,"Buy Ipamorelin online in India. Cleanest ghrelin mimetic – selectively triggers GH pulses without raising cortisol or prolactin. COA included, COD available.",active
cjc---ipamorelin-blend,CJC + Ipamorelin Blend,<p>CJC-1295 (no-DAC) + Ipamorelin synergistic blend. Amplifies natural GH pulses for recomposition and recovery.</p><p><strong>Purity:</strong> 99% (HPLC-verified) · <strong>Half-life:</strong> Combo</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>,Peptide Central,Hormones,"Hormones, research peptides, india, GH Stack",TRUE,Size,5+5mg,cjc---ipamorelin-blend-5-5mg,shopify,100,deny,manual,3999,6999,TRUE,FALSE,https://peptidecentral.in/images/vials/cjc-1295_5mg.webp,CJC + Ipamorelin Blend 5+5mg research peptide India,https://peptidecentral.in/images/vials/cjc-1295_5mg.webp,FALSE,Buy CJC + Ipamorelin Blend in India | 99% Pure | Peptide Central,"Buy CJC + Ipamorelin Blend online in India. CJC-1295 (no-DAC) + Ipamorelin synergistic blend. Amplifies natural GH pulses for recomposition and  COA included, COD available.",active
semax,Semax,"<p>ACTH-derived nootropic that upregulates BDNF, enhances working memory, focus, and neuroregeneration.</p><p><strong>Purity:</strong> 99.90% (HPLC-verified) · <strong>Half-life:</strong> ~8h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Brain,"Brain, research peptides, india, Focus / Neuroplasticity",TRUE,Size,10mg,semax-10mg,shopify,100,deny,manual,2999,4999,TRUE,FALSE,https://peptidecentral.in/images/vials/semax_10mg.webp,Semax 10mg research peptide India,https://peptidecentral.in/images/vials/semax_10mg.webp,FALSE,Buy Semax in India | 99.90% Pure | Peptide Central,"Buy Semax online in India. ACTH-derived nootropic that upregulates BDNF, enhances working memory, focus, and neuroregeneration. COA included, COD available.",active
selank,Selank,"<p>Anxiolytic peptide modulating GABA & serotonin. Reduces cortisol, improves mood and focus without sedation.</p><p><strong>Purity:</strong> 99.90% (HPLC-verified) · <strong>Half-life:</strong> ~8h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Brain,"Brain, research peptides, india, Calm Focus / Stress Support",TRUE,Size,10mg,selank-10mg,shopify,100,deny,manual,2999,4999,TRUE,FALSE,https://peptidecentral.in/images/vials/selank_10mg.webp,Selank 10mg research peptide India,https://peptidecentral.in/images/vials/selank_10mg.webp,FALSE,Buy Selank in India | 99.90% Pure | Peptide Central,"Buy Selank online in India. Anxiolytic peptide modulating GABA & serotonin. Reduces cortisol, improves mood and focus without se COA included, COD available.",active
pinealon,Pinealon,"<p>Pineal gland-derived tripeptide. Researched for cognitive enhancement, sleep quality, and neuroprotective properties.</p><p><strong>Purity:</strong> 99% (HPLC-verified) · <strong>Half-life:</strong> ~24h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Brain,"Brain, research peptides, india, Cognitive Function / Vividness",TRUE,Size,10mg,pinealon-10mg,shopify,100,deny,manual,3999,7999,TRUE,FALSE,https://peptidecentral.in/images/vials/pinealon_10mg.webp,Pinealon 10mg research peptide India,https://peptidecentral.in/images/vials/pinealon_10mg.webp,FALSE,Buy Pinealon in India | 99% Pure | Peptide Central,"Buy Pinealon online in India. Pineal gland-derived tripeptide. Researched for cognitive enhancement, sleep quality, and neuroprote COA included, COD available.",active
epitalon,Epitalon,"<p>Tetrapeptide activating telomerase, extending telomere length, and restoring melatonin production.</p><p><strong>Purity:</strong> 99% (HPLC-verified) · <strong>Half-life:</strong> ~30m</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Longevity,"Longevity, research peptides, india, Longevity Pathways / Pineal Healing",TRUE,Size,10mg,epitalon-10mg,shopify,100,deny,manual,3999,7999,TRUE,FALSE,https://peptidecentral.in/images/vials/epitalon_10mg.webp,Epitalon 10mg research peptide India,https://peptidecentral.in/images/vials/epitalon_10mg.webp,FALSE,Buy Epitalon in India | 99% Pure | Peptide Central,"Buy Epitalon online in India. Tetrapeptide activating telomerase, extending telomere length, and restoring melatonin production. COA included, COD available.",active
ss-31,SS-31,<p>Szeto-Schiller peptide targeting mitochondrial inner membrane. Researched for energy production and cellular protection.</p><p><strong>Purity:</strong> 99% (HPLC-verified) · <strong>Half-life:</strong> ~4h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>,Peptide Central,Longevity,"Longevity, research peptides, india, Mitochondrial Support.",TRUE,Size,10mg,ss-31-10mg,shopify,100,deny,manual,3999,5999,TRUE,FALSE,https://peptidecentral.in/images/vials/ss-31_10mg.webp,SS-31 10mg research peptide India,https://peptidecentral.in/images/vials/ss-31_10mg.webp,FALSE,Buy SS-31 in India | 99% Pure | Peptide Central,"Buy SS-31 online in India. Szeto-Schiller peptide targeting mitochondrial inner membrane. Researched for energy production and  COA included, COD available.",active
